City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,76.82,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
6,Atuona,PF,77.14,clear sky,-9.8,-139.0333,Villa Enata
10,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
12,Cape Town,ZA,77.34,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
20,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
25,Arlit,NE,87.35,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
40,Itarema,BR,88.7,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
41,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
49,Vaini,TO,77.16,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
53,Lazaro Cardenas,MX,82.6,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
57,Miramar,US,83.01,scattered clouds,25.9873,-80.2323,Stadium Hotel
70,Victoria,HK,77.38,clear sky,22.2855,114.1577,Mini Central
72,Ransang,PH,79.0,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
91,Sao Filipe,CV,78.87,overcast clouds,14.8961,-24.4956,Hotel Xaguate
93,Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
94,Butaritari,KI,80.8,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
96,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
98,Tanete,ID,75.54,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
102,Itacare,BR,82.78,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
108,Kavieng,PG,82.0,light rain,-2.5744,150.7967,Nusa Island Retreat
109,Dicabisagan,PH,77.95,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
111,Celestun,MX,80.49,clear sky,20.8667,-90.4,Posada Lilia
115,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
118,Atlantic Beach,US,77.11,mist,30.3344,-81.3987,One Ocean Resort & Spa
122,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Srandakan,ID,77.27,moderate rain,-7.9386,110.2506,Puri Brata
125,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
129,Tonantins,BR,85.57,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
130,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Adeje,ES,76.15,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
137,Ambon,ID,79.23,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
141,Olavarria,AR,79.09,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
145,Bilma,NE,80.8,clear sky,18.6853,12.9164,Expeditions Ténére voyages
149,Tomatlan,MX,79.97,clear sky,19.9333,-105.25,El Salvial
151,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
155,Matara,LK,77.43,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
157,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
164,Guiglo,CI,87.33,scattered clouds,6.5456,-7.4966,Hotel GBAOLY 2
167,Nizwa,OM,80.47,broken clouds,22.9333,57.5333,Orient Apartments
171,Yanam,IN,78.37,broken clouds,16.7333,82.2167,The Regency Hotel
173,Caravelas,BR,86.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
175,Hobyo,SO,81.01,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
176,Benguela,AO,76.86,few clouds,-12.5763,13.4055,Hotel Praia Morena
183,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
186,Boyolangu,ID,75.97,overcast clouds,-8.1181,111.8935,Yos ega cv
187,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
192,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
195,Sinnamary,GF,84.18,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
196,Gizo,SB,81.73,moderate rain,-8.103,156.8419,Imagination Island
199,Limaong,PH,79.88,overcast clouds,7.3606,122.3664,Malanta Beach
204,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
206,Zabid,YE,84.07,overcast clouds,14.1951,43.3152,مغرب التريبه
207,Xai-Xai,MZ,75.15,overcast clouds,-25.0519,33.6442,Complexo da Familia
209,Cabo San Lucas,MX,78.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
218,Muli,MV,80.35,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
219,Bubaque,GW,82.74,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
231,Pontianak,ID,78.78,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
251,Yulara,AU,83.34,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
252,Realeza,BR,84.69,overcast clouds,-25.7689,-53.5325,Hotel Renascer
256,Diffa,NE,88.21,overcast clouds,13.3154,12.6113,ProDAF/Diffa
258,Honiara,SB,77.38,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
262,Sibolga,ID,75.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
263,San Pedro,PH,78.26,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
265,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
267,Dhidhdhoo,MV,81.9,overcast clouds,6.8833,73.1,Dhidhoo beach
270,Maxixe,MZ,80.42,broken clouds,-23.8597,35.3472,Oceano
272,Katherine,AU,77.32,moderate rain,-14.4667,132.2667,Pine Tree Motel
273,Soyo,AO,80.17,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
278,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
280,Harper,LR,81.82,scattered clouds,4.375,-7.7169,Screensaver
284,Faanui,PF,77.9,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
297,Carutapera,BR,87.17,scattered clouds,-1.195,-46.02,Lidera
305,Pemangkat,ID,78.55,moderate rain,1.1667,108.9667,Hotel Duyung Permai 2
307,Bria,CF,80.31,broken clouds,6.5423,21.9863,WFP Guesthouse
308,Boa Vista,BR,87.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
317,Praya,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
318,Porto Novo,BJ,85.46,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
320,Veraval,IN,80.47,clear sky,20.9,70.3667,Lords Inn Somnath
330,San Patricio,US,83.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
332,Bacolod,PH,78.73,scattered clouds,10.6667,122.95,Planta Hotel & Residences
339,Mucurapo,TT,85.01,light rain,10.6667,-61.5333,Courtyard by Marriott Port of Spain
340,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
341,Viljoenskroon,ZA,75.18,scattered clouds,-27.2084,26.9485,DIE LAPA
343,Sorong,ID,80.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
355,Vilhena,BR,89.82,scattered clouds,-12.7406,-60.1458,Hotel Mirage
