City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Normal,US,40.5142,-88.9906,70.11,45,0,25.32,clear sky
1,Castro,BR,-24.7911,-50.0119,76.82,39,60,7.67,broken clouds
2,Haines Junction,CA,60.7522,-137.5108,19.63,96,100,2.62,overcast clouds
3,Busselton,AU,-33.65,115.3333,53.58,82,70,15.82,broken clouds
4,Australind,AU,-33.2667,115.7167,53.58,82,44,11.59,scattered clouds
5,Fortuna,US,40.5982,-124.1573,39.92,98,100,9.22,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.14,80,10,14.27,clear sky
7,Saint-Philippe,RE,-21.3585,55.7679,74.79,74,99,6.69,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,71.69,88,97,11.7,light rain
9,Xuanhua,CN,40.6103,115.0447,46.44,74,26,5.03,scattered clouds
10,Alice Springs,AU,-23.7,133.8833,76.55,50,94,6.91,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,37.56,76,100,30.56,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,77.34,51,0,8.99,clear sky
13,Port Alfred,ZA,-33.5906,26.891,65.16,71,100,21.5,overcast clouds
14,Port Elizabeth,ZA,-33.918,25.5701,63.32,72,100,7.0,overcast clouds
15,Avarua,CK,-21.2078,-159.775,73.45,73,100,11.5,overcast clouds
16,Jamestown,US,42.097,-79.2353,63.99,36,0,13.8,clear sky
17,Khandagayty,RU,50.7333,92.05,10.33,81,60,7.23,broken clouds
18,Thompson,CA,55.7435,-97.8558,0.5,92,64,1.45,broken clouds
19,Broken Hill,AU,-31.95,141.4333,66.18,78,1,8.32,clear sky
20,Port-Gentil,GA,-0.7193,8.7815,76.96,88,40,5.75,light rain
21,Ushuaia,AR,-54.8,-68.3,49.62,42,40,5.75,scattered clouds
22,Rottingdean,GB,50.8098,-0.0594,59.11,83,75,17.27,broken clouds
23,Balykshi,KZ,47.0667,51.8667,37.4,87,71,2.24,mist
24,Hobart,AU,-42.8794,147.3294,66.06,68,75,12.66,moderate rain
25,Arlit,NE,18.7369,7.3853,87.35,8,70,7.09,broken clouds
26,Hervey Bay,AU,-25.2986,152.8535,67.66,67,49,9.51,scattered clouds
27,Senneterre,CA,48.3835,-77.2328,39.81,99,100,1.25,overcast clouds
28,Blackwater,AU,-23.5833,148.8833,65.1,78,43,7.94,scattered clouds
29,Burns Lake,CA,54.2331,-125.7533,10.67,86,70,2.48,broken clouds
30,Poronaysk,RU,49.2167,143.1167,28.26,51,12,13.94,few clouds
31,Ilulissat,GL,69.2167,-51.1,14.02,67,100,4.61,overcast clouds
32,Carberry,CA,49.8689,-99.3602,17.83,87,100,17.54,overcast clouds
33,Upernavik,GL,72.7868,-56.1549,10.78,87,100,2.15,light snow
34,Ryotsu,JP,38.0833,138.4333,58.96,79,74,4.81,broken clouds
35,Mataura,NZ,-46.1927,168.8643,44.83,97,1,2.68,clear sky
36,Mandurah,AU,-32.55,115.7,55.13,80,69,15.21,broken clouds
37,Fukue,JP,32.6881,128.8419,65.46,77,99,5.7,overcast clouds
38,Hermanus,ZA,-34.4187,19.2345,67.8,63,2,22.95,clear sky
39,Emerald,AU,-23.5333,148.1667,63.34,78,99,12.21,overcast clouds
40,Itarema,BR,-2.9248,-39.9167,88.7,53,34,17.78,scattered clouds
41,Cayenne,GF,4.9333,-52.3333,87.84,66,40,12.66,scattered clouds
42,Jalapa,MX,19.5333,-96.9167,68.54,59,0,3.71,clear sky
43,Lewisville,US,33.0462,-96.9942,71.35,83,75,14.97,broken clouds
44,Kaitangata,NZ,-46.2817,169.8464,44.85,94,7,3.69,clear sky
45,Victoria Point,AU,-27.5833,153.3,61.45,89,4,4.56,clear sky
46,Sitka,US,57.0531,-135.33,39.09,75,100,23.02,light rain
47,Namibe,AO,-15.1961,12.1522,71.02,66,4,15.64,clear sky
48,Torbay,CA,47.6666,-52.7314,43.57,74,100,5.99,light rain
49,Vaini,TO,-21.2,-175.2,77.16,88,100,10.36,light intensity shower rain
50,Kapaa,US,22.0752,-159.319,70.11,82,0,5.75,clear sky
51,Yar-Sale,RU,66.8333,70.8333,4.62,91,97,10.31,overcast clouds
52,Albany,US,42.6001,-73.9662,59.27,58,1,1.99,clear sky
53,Lazaro Cardenas,MX,17.9583,-102.2,82.6,68,88,2.42,overcast clouds
54,Hilo,US,19.7297,-155.09,69.24,82,0,7.0,clear sky
55,Kut Chap,TH,17.4257,102.5669,72.54,73,99,2.62,overcast clouds
56,Yellowknife,CA,62.456,-114.3525,4.46,96,65,8.77,broken clouds
57,Miramar,US,25.9873,-80.2323,83.01,74,40,18.41,scattered clouds
58,Alekseyevsk,RU,57.8406,108.3492,22.71,93,100,10.33,light snow
59,Alvorada,BR,-12.48,-49.1247,96.89,33,9,5.08,clear sky
60,Novospasskoye,RU,53.1468,47.7514,42.46,86,97,10.92,overcast clouds
61,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,77,75,13.8,broken clouds
62,Bethel,US,41.3712,-73.414,62.46,63,0,13.8,clear sky
63,Barcelos,PT,41.5388,-8.6151,67.91,76,20,1.92,few clouds
64,Seymour,US,38.9592,-85.8903,66.09,49,8,5.99,clear sky
65,Ponta Do Sol,PT,32.6667,-17.1,72.72,81,40,6.4,scattered clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,71.62,82,0,18.01,clear sky
67,Rawson,AR,-43.3002,-65.1023,54.36,88,100,19.86,heavy intensity rain
68,Talnakh,RU,69.4865,88.3972,6.21,97,100,9.95,light snow
69,Iqaluit,CA,63.7506,-68.5145,-6.48,99,84,12.82,broken clouds
70,Victoria,HK,22.2855,114.1577,77.38,85,0,5.99,clear sky
71,Geneva,US,41.8875,-88.3054,70.79,60,75,14.97,broken clouds
72,Ransang,PH,8.9603,117.5828,79.0,84,89,3.27,overcast clouds
73,Lodja,CD,-3.4833,23.4333,72.23,94,96,1.74,light rain
74,Qaanaaq,GL,77.484,-69.3632,-10.5,61,0,8.93,clear sky
